EntityName,DataYear,Fixed broadband 5GB,Mobile broadband data only 1.5 GB,Mobile Data and Voice Low Usage,Mobile Data and Voice High Usage
Barbados,2008,3.75,,,
Grenada,2008,4.76,,,
Suriname,2008,18.01,,,
British Virgin Islands,2008,,,,
Jamaica,2008,12.17,,,
Bahamas,2008,,,,
Trinidad and Tobago,2008,0.86,,,
Bermuda,2008,,,,
Saint Kitts and Nevis,2008,,,,
Guyana,2008,25.24,,,
Haiti,2008,,,,
Antigua and Barbuda,2008,,,,
Cayman Islands,2008,,,,
Saint Lucia,2008,10.22,,,
Turks & Caicos Is.,2008,,,,
Saint Vincent and the Grenadines,2008,10.65,,,
Dominica,2008,8.86,,,
Belize,2008,28.74,,,
Anguilla,2008,,,,
Montserrat,2008,,,,
Bahamas,2009,,,,
Saint Vincent and the Grenadines,2009,6.44,,,
Bermuda,2009,,,,
Belize,2009,15.31,,,
Saint Lucia,2009,5.26,,,
Haiti,2009,,,,
Suriname,2009,13.72,,,
Antigua and Barbuda,2009,,,,
Barbados,2009,2.65,,,
Dominica,2009,8.61,,,
Anguilla,2009,,,,
Turks & Caicos Is.,2009,,,,
Grenada,2009,5.16,,,
Montserrat,2009,,,,
Cayman Islands,2009,,,,
Guyana,2009,23.34,,,
British Virgin Islands,2009,,,,
Saint Kitts and Nevis,2009,,,,
Trinidad and Tobago,2009,0.92,,,
Jamaica,2009,5.9,,,
Anguilla,2010,,,,
Antigua and Barbuda,2010,,,,
Dominica,2010,8.42,,,
Saint Lucia,2010,5.34,,,
Bahamas,2010,,,,
Saint Kitts and Nevis,2010,,,,
Guyana,2010,20.21,,,
Haiti,2010,,,,
Montserrat,2010,,,,
Cayman Islands,2010,,,,
Turks & Caicos Is.,2010,,,,
Jamaica,2010,7.61,,,
British Virgin Islands,2010,,,,
Barbados,2010,2.96,,,
Trinidad and Tobago,2010,0.95,,,
Bermuda,2010,,,,
Grenada,2010,4.98,,,
Belize,2010,28.99,,,
Saint Vincent and the Grenadines,2010,6.7,,,
Suriname,2010,6.48,,,
Bermuda,2011,,,,
Montserrat,2011,,,,
British Virgin Islands,2011,,,,
Belize,2011,13.83,,,
Bahamas,2011,,,,
Antigua and Barbuda,2011,,,,
Cayman Islands,2011,,,,
Grenada,2011,4.91,,,
Barbados,2011,3.03,,,
Dominica,2011,5.68,,,
Haiti,2011,,,,
Saint Lucia,2011,5.08,,,
Saint Vincent and the Grenadines,2011,6.65,,,
Anguilla,2011,,,,
Turks & Caicos Is.,2011,,,,
Jamaica,2011,7.26,,,
Saint Kitts and Nevis,2011,,,,
Guyana,2011,9.81,,,
Trinidad and Tobago,2011,1.09,,,
Suriname,2011,6.08,,,
Saint Vincent and the Grenadines,2012,6.37,,,
Belize,2012,13.57,,,
Montserrat,2012,,,,
Haiti,2012,,30.51,,
Suriname,2012,5.58,5.01,,
Grenada,2012,4.93,,,
Trinidad and Tobago,2012,1.0,1.2,,
British Virgin Islands,2012,,,,
Jamaica,2012,6.53,3.9,,
Turks & Caicos Is.,2012,,,,
Cayman Islands,2012,,,,
Dominica,2012,6.67,,,
Bermuda,2012,,,,
Barbados,2012,3.6,1.41,,
Guyana,2012,8.53,,,
Bahamas,2012,,,,
Saint Kitts and Nevis,2012,,,,
Saint Lucia,2012,6.28,,,
Antigua and Barbuda,2012,,2.73,,
Anguilla,2012,,,,
Trinidad and Tobago,2013,0.87,1.97,1.9,
Saint Kitts and Nevis,2013,3.14,,,
Suriname,2013,5.16,2.26,3.67,
Antigua and Barbuda,2013,5.06,5.42,2.56,
Bermuda,2013,,,,
Anguilla,2013,,,,
Haiti,2013,66.82,34.51,34.51,
Guyana,2013,7.41,,,
Bahamas,2013,1.7,,1.7,
Barbados,2013,3.3,1.4,1.44,
Saint Vincent and the Grenadines,2013,6.17,,,
Belize,2013,13.79,4.14,,
Dominica,2013,6.78,,,
Turks & Caicos Is.,2013,,,,
Montserrat,2013,,,,
Saint Lucia,2013,6.11,,,
Grenada,2013,4.73,,,
Jamaica,2013,5.84,5.7,3.99,
Cayman Islands,2013,,,,
British Virgin Islands,2013,,,,
Cayman Islands,2014,,,,
Anguilla,2014,,,,
Turks & Caicos Is.,2014,,,,
Antigua and Barbuda,2014,4.96,2.64,1.64,
Dominica,2014,6.56,,,
Trinidad and Tobago,2014,0.74,1.67,1.61,
Suriname,2014,4.49,2.19,3.29,
Saint Vincent and the Grenadines,2014,6.11,5.34,2.69,
Barbados,2014,3.3,1.4,1.44,
Saint Lucia,2014,5.98,,3.06,
Montserrat,2014,,,,
Grenada,2014,4.46,2.58,3.32,
Bahamas,2014,1.72,,1.14,
British Virgin Islands,2014,,,,
Belize,2014,3.45,3.45,4.14,
Guyana,2014,7.38,,,
Bermuda,2014,,,,
